FID,Field1,Aquifer,Station,Latitude,Longitude,Date,Cl,HCO3,SO4,NaK,Ca,Mg,TDS,Source
0,23,Dockum,6778.000000000000000,30.811539000000000,-102.850814000000000,2018-06-11T00:00:00.000000000,7.446478436239528,3.918032786885246,42.698921597201981,31.540823462909319,12.525575128499424,9.463073441678667,3658.000000000000000,MPGCD
1,43,Edwards-Trinity Plateau,4387.000000000000000,30.855799999999999,-102.899600000000007,2015-11-11T00:00:00.000000000,8.010605590500099,4.278688524590164,7.765332889203481,9.916341970975523,7.685014222266580,3.867516971816499,1352.000000000000000,MPGCD
2,59,Edwards-Trinity Plateau,4111.000000000000000,30.862760000000002,-102.899299999999997,2018-02-19T00:00:00.000000000,7.079795785970157,4.639344262295082,8.140067452221343,10.482051283421129,7.784819601776535,4.032092162106562,1376.000000000000000,MPGCD
3,69,Edwards-Trinity Plateau,4359.000000000000000,30.801300000000001,-103.038899999999998,2019-07-24T00:00:00.000000000,8.913209037317010,4.934426229508197,8.202523212724321,10.714906609670345,6.786765806676979,4.114379757251594,1450.000000000000000,MPGCD
4,70,Rustler,4274.000000000000000,30.816020000000002,-103.016900000000007,2020-08-19T00:00:00.000000000,12.523622824584660,4.606557377049180,12.449514926926760,11.334433957455149,11.377813264134936,4.690392923266818,1872.000000000000000,MPGCD
5,71,Capitan Reef Complex,4267.000000000000000,30.802470000000000,-103.048299999999998,2020-08-19T00:00:00.000000000,12.213352889741346,4.672131147540983,10.659116459174751,9.872825870018170,9.381705673935825,4.854968113556882,1708.000000000000000,MPGCD
6,72,Edwards-Trinity Plateau,4829.000000000000000,30.858889999999999,-103.034999999999997,2020-08-19T00:00:00.000000000,18.503370659746704,5.098360655737705,12.178873298080527,16.397576489970682,10.230051399770447,6.418432421312487,2220.000000000000000,MPGCD
7,73,Edwards-Trinity Plateau,4271.000000000000000,30.796469999999999,-103.017099999999999,2020-01-23T00:00:00.000000000,8.010605590500099,5.131147540983607,8.639713536245161,11.621107319043562,8.184041119816358,4.361242542686690,1502.000000000000000,MPGCD
8,74,Edwards-Trinity Plateau,4261.000000000000000,30.792220000000000,-103.023700000000005,2020-07-08T00:00:00.000000000,15.598115815304768,4.967213114754099,8.743806470416787,16.361697799744555,10.379759469035379,5.924706850442296,1940.000000000000000,MPGCD
9,75,Edwards-Trinity Plateau,4265.000000000000000,30.808540000000001,-103.026499999999999,2020-08-19T00:00:00.000000000,22.903562462979153,5.295081967213115,14.427280676187701,17.459902258060250,11.178202505115024,9.133923061098539,2575.000000000000000,MPGCD
10,76,Edwards-Trinity Plateau,4270.000000000000000,30.815809999999999,-103.026300000000006,2020-08-19T00:00:00.000000000,19.293148675711503,5.262295081967213,12.845068076778949,16.085326372537981,9.930635261240580,7.323595967907838,2288.000000000000000,MPGCD
11,77,Edwards-Trinity Plateau,4269.000000000000000,30.815829999999998,-103.034700000000001,2020-08-19T00:00:00.000000000,15.372464953600540,4.836065573770492,9.451638422783862,13.717517575727786,8.134138430061380,4.854968113556882,1838.000000000000000,MPGCD
12,78,Edwards-Trinity Plateau,4262.000000000000000,30.792269999999998,-103.023600000000002,2020-07-08T00:00:00.000000000,10.408145996107521,5.032786885245901,8.972810925594370,12.691070497864352,7.984430360796447,4.608105328121786,1620.000000000000000,MPGCD
13,106,Rustler,6783.000000000000000,30.856168000000000,-103.003367999999995,2020-02-21T00:00:00.000000000,6.402843200857473,5.065573770491803,5.995753008285797,10.576720896067060,5.389490493537601,3.538366591236371,1223.000000000000000,MPGCD
14,107,Edwards-Trinity Plateau,6267.000000000000000,30.850282000000000,-102.993630999999993,2020-02-21T00:00:00.000000000,2.764223055876794,3.032786885245902,34.850314360661201,4.789079468738949,24.402415290184138,11.520263320304464,2701.000000000000000,MPGCD
15,121,Edwards-Trinity Plateau,6303.000000000000000,30.884443999999998,-102.966778000000005,2018-05-31T00:00:00.000000000,9.477336191577582,4.540983606557377,7.640421368197527,11.577591218086207,7.984430360796447,3.785229376671467,1457.000000000000000,MPGCD
16,131,Capitan Reef Complex,6771.000000000000000,30.786546999999999,-103.026775999999998,2017-01-13T00:00:00.000000000,7.841367444221927,3.426229508196721,7.931881583878087,8.756682066589406,4.591047457457957,4.196667352396626,1217.000000000000000,MPGCD
17,132,Edwards-Trinity Plateau,4764.000000000000000,30.891777999999999,-102.888722000000001,2017-01-30T00:00:00.000000000,15.428877669026598,1.852459016393443,23.712370404296959,16.394911966320066,16.318179549877737,10.285949393128986,2641.000000000000000,MPGCD
18,133,Edwards-Trinity Plateau,4760.000000000000000,30.788917000000001,-103.027472000000003,2020-08-19T00:00:00.000000000,16.726370123825909,4.934426229508197,10.471749177665821,14.692811141902647,9.331802984180847,5.266406089282041,1995.000000000000000,MPGCD
19,134,Edwards-Trinity Plateau,4761.000000000000000,30.787110999999999,-103.027000000000001,2020-08-19T00:00:00.000000000,13.849321637097001,5.032786885245901,8.473164841570554,12.429973892120227,7.734916912021557,4.196667352396626,1702.000000000000000,MPGCD
20,135,Edwards-Trinity Plateau,4762.000000000000000,30.772082999999999,-103.035416999999995,2020-08-19T00:00:00.000000000,13.031337263419173,5.131147540983607,7.931881583878087,11.098914107555311,7.435500773491690,4.278954947541658,1619.000000000000000,MPGCD
21,136,Edwards-Trinity Plateau,4791.000000000000000,30.772110999999999,-103.030833000000001,2020-08-19T00:00:00.000000000,14.074972498801229,5.065573770491803,8.119248865387018,11.864264579674622,7.734916912021557,4.278954947541658,1684.000000000000000,MPGCD
22,138,Edwards-Trinity Plateau,4853.000000000000000,30.885829999999999,-102.952200000000005,2007-09-13T00:00:00.000000000,24.060023129213324,4.786885245901639,19.111462713910981,19.169640493208892,14.920904236738359,8.722485085373380,2920.000000000000000,MPGCD
23,139,Edwards-Trinity Plateau,4778.000000000000000,30.891259999999999,-103.034549999999996,2020-08-19T00:00:00.000000000,25.160071080021435,5.393442622950820,20.256484989798892,22.000851579087534,16.617595688407604,10.368236988274019,3168.000000000000000,MPGCD
24,140,Edwards-Trinity Plateau,4808.000000000000000,30.830279999999998,-103.043599999999998,2020-08-19T00:00:00.000000000,18.390545228894592,5.098360655737705,11.533497106216430,15.962415480397141,10.279954089525425,6.006994445587328,2171.000000000000000,MPGCD
25,141,Edwards-Trinity Plateau,4766.000000000000000,30.830279999999998,-103.030299999999997,2020-08-19T00:00:00.000000000,18.616196090598820,5.229508196721311,13.115709705625182,17.293475264962058,10.379759469035379,7.488171158197901,2314.000000000000000,MPGCD
26,142,Edwards-Trinity Plateau,4811.000000000000000,30.830279999999998,-103.028599999999997,2020-08-19T00:00:00.000000000,17.290497278086480,5.229508196721311,11.845775908731316,15.693681463921793,9.182094914915913,6.747582801892615,2136.000000000000000,MPGCD
27,143,Edwards-Trinity Plateau,4813.000000000000000,30.829999999999998,-103.026700000000005,2020-08-19T00:00:00.000000000,31.986009646574335,6.049180327868853,30.103676562434941,22.090548304652863,22.556015769249960,16.457519029006377,4124.000000000000000,MPGCD
28,144,Edwards-Trinity Plateau,4814.000000000000000,30.830279999999998,-103.017499999999998,2020-06-26T00:00:00.000000000,13.398019913688545,5.131147540983607,9.618187117458467,12.908651002651123,9.880732571485602,5.101830898991977,1813.000000000000000,MPGCD
29,145,Edwards-Trinity Plateau,4769.000000000000000,30.858889999999999,-103.032799999999995,2020-08-19T00:00:00.000000000,19.913688545398131,5.065573770491803,14.031727526335512,17.754213030379887,11.677229402664803,7.488171158197901,2429.000000000000000,MPGCD
30,146,Edwards-Trinity Plateau,4770.000000000000000,30.862500000000001,-103.032499999999999,2020-11-02T00:00:00.000000000,44.114743463176595,5.524590163934426,28.521463963026189,32.383260362782131,21.458156594640450,17.938695741616950,4676.000000000000000,MPGCD
31,147,Edwards-Trinity Plateau,4827.000000000000000,30.858889999999999,-103.037199999999999,2020-08-19T00:00:00.000000000,21.521450935040757,5.163934426229508,12.865886663613274,17.416386157102895,10.729078297320225,6.912157992182679,2403.000000000000000,MPGCD
32,148,Rustler,4831.000000000000000,30.848330000000001,-103.010000000000005,2020-06-26T00:00:00.000000000,8.715764533325810,3.950819672131148,29.437481783736519,8.349762336510771,24.252707220919206,9.216210656243572,2758.000000000000000,MPGCD
33,149,Edwards-Trinity Plateau,4822.000000000000000,30.858889999999999,-103.010300000000001,2020-07-08T00:00:00.000000000,7.643922940230727,4.475409836065574,22.504892367906066,11.918082615013818,19.012924796646537,8.311047109648221,2385.000000000000000,MPGCD
